y,DT,TN,SPT,GTC,TCH,GT,DV,LS,PL,NCV
0,70,110,2,0,25,1,0,0,0,400
1,56,150,3,100,24,0,0,1,0,316
1,95,163,1,100,40,1,0,0,1,499
1,65,150,2,300,36,0,1,1,1,329
1,102,445,1,800,44,0,0,1,1,169
1,73,325,0,260,47,0,0,0,1,278
1,74,294,5,400,56,0,1,1,0,500
1,56,213,3,250,35,0,0,0,0,492
0,17,70,4,0,27,1,0,0,1,199
0,95,80,4,0,29,1,1,0,0,260
1,65,375,5,330,33,0,0,1,1,346
0,102,145,3,0,45,1,0,0,0,204
0,45,67,0,0,36,0,0,0,0,118
1,94,165,5,180,45,1,1,1,0,494
1,95,255,5,180,35,0,0,1,0,364
1,95,350,1,180,52,0,0,0,0,155
0,65,165,1,0,23,0,1,0,1,199
0,102,70,5,0,26,0,0,0,1,485
0,48,100,1,0,42,0,0,0,1,289
0,16,90,5,0,31,0,1,1,1,153
1,84,215,5,120,24,1,0,1,0,470
0,95,60,0,0,28,0,0,1,0,254
1,65,255,5,190,34,0,0,0,0,282
0,102,105,4,60,33,0,0,0,1,299
1,24,285,1,170,38,1,0,0,0,469
0,56,170,2,60,30,0,0,0,0,433
1,44,174,2,100,31,0,0,1,0,388
1,95,305,1,150,42,0,1,1,0,312
1,65,205,4,80,48,0,0,1,1,256
1,102,175,2,150,44,0,0,0,1,175
0,55,180,1,70,41,0,0,0,0,120
1,86,205,0,350,57,0,0,0,0,133
1,91,295,1,340,56,0,1,0,0,389
1,38,153,2,400,55,1,0,1,1,232
0,45,130,4,80,23,1,1,1,1,247
0,36,126,2,80,34,0,0,0,0,156
1,88,505,2,880,48,0,0,0,1,471
1,120,415,5,500,45,1,1,1,0,405
1,60,225,0,300,37,0,0,1,1,169
1,95,110,4,200,42,1,0,1,1,324
1,86,215,5,400,44,0,1,0,0,108
0,94,109,3,90,40,0,0,0,1,468
1,74,153,2,120,50,0,1,1,0,339
0,20,125,5,60,48,1,0,0,1,161
0,18,76,3,100,32,0,1,0,0,258
1,78,375,5,280,38,0,0,0,1,321
0,17,143,2,150,45,0,1,0,0,286
0,48,79,3,200,26,1,1,1,0,290
1,59,235,1,100,40,1,1,0,0,264
1,56,154,5,100,50,1,0,0,1,173
1,54,305,5,120,55,0,0,1,0,111
1,56,205,4,140,51,0,0,1,0,229
1,25,120,4,200,38,0,1,0,1,264
1,37,145,5,150,35,0,1,0,1,249
1,88,295,1,180,38,0,0,1,1,370
1,80,265,0,160,34,0,0,1,1,371
1,90,225,2,210,31,0,1,0,1,248
1,43,120,1,260,45,0,1,1,0,166
1,56,152,1,260,60,0,0,1,0,434
1,54,255,4,240,37,1,0,1,1,319
1,77,150,3,350,48,0,1,0,1,421
1,95,210,0,400,46,1,1,1,0,451
1,44,130,3,300,27,1,1,1,1,420
1,60,235,0,210,54,0,1,0,0,208
1,45,145,0,260,56,0,0,0,1,427
1,74,255,1,240,38,0,1,0,0,394
1,25,135,1,350,61,1,0,0,0,440
1,47,215,4,320,44,1,0,1,1,491
1,56,149,5,380,36,0,0,0,0,262
1,74,235,2,400,36,1,1,0,1,306
1,90,275,3,360,35,0,1,0,1,217
1,47,205,5,500,54,1,1,0,1,154
1,88,238,3,550,57,0,0,0,1,294
1,94,280,4,480,51,1,1,1,1,400
1,56,239,5,600,36,0,0,0,1,181
1,76,155,1,410,48,0,0,1,1,427
1,89,222,0,240,31,0,0,0,0,483
1,53,120,3,250,47,0,1,0,1,357
1,52,106,2,280,45,0,1,1,1,367
1,53,180,2,380,66,0,0,0,1,362
1,22,145,4,300,60,1,0,0,0,134
1,46,130,1,400,37,1,1,1,1,344
1,31,131,1,350,55,0,1,0,0,416
1,34,154,5,300,59,0,0,1,0,441
1,77,182,0,320,40,0,0,0,1,181
1,95,140,3,300,44,0,0,0,1,185
1,44,285,0,300,43,0,1,1,0,314
1,60,145,2,350,61,1,1,1,1,406
1,45,235,4,600,40,0,1,1,1,101
1,74,165,4,550,40,0,0,0,1,142
1,25,239,2,500,66,0,1,1,0,399
1,47,255,3,600,66,1,1,1,0,230
1,56,235,2,500,50,1,1,1,0,345
1,74,205,2,800,47,0,0,1,0,143
1,90,201,1,500,50,0,0,0,1,396
1,47,205,1,700,60,0,1,1,0,397
1,88,225,0,500,58,0,1,0,1,258
0,94,130,5,180,34,0,0,0,1,402
0,26,131,1,150,35,1,0,0,0,342
0,28,127,0,140,32,1,0,0,1,264
0,30,184,3,50,28,1,0,1,1,246
0,34,195,5,50,26,1,0,0,0,185
0,32,165,0,60,25,0,1,0,1,280
0,31,265,1,70,36,0,1,0,0,139
0,26,210,3,80,43,1,0,0,0,245
0,77,133,5,50,27,1,0,0,0,415
0,95,155,1,110,25,0,0,1,0,434
0,44,128,2,110,45,0,1,0,1,438
0,60,215,1,120,33,0,0,0,1,434
0,45,213,5,130,31,0,0,0,1,131
0,74,184,5,140,56,1,0,1,1,370
0,25,310,4,60,55,1,0,0,0,396
0,47,129,0,80,26,0,0,0,1,165
1,56,165,5,100,45,1,0,0,0,199
1,74,145,2,110,46,1,0,0,1,259
